Index;acousticness;album;artist_popularity;artists;danceability;disc_number;duration_ms;energy;explicit;followers;genres;instrumentalness;key;liveness;loudness;mode;name;popularity;release_date;speechiness;tempo;track_number;uri;valence
0;0.0102;Pablo Honey;82;Radiohead;0.515;1;238640;0.43;TRUE;5596743;alternative rock;0.000141;7;0.129;-9.935;1;Creep;82;22.02.1993;0.0369;91.841;2;spotify:track:6b2oQwSGFkzsMtQruIWm2p;0.104
1;0.0469;The Eraser;64;Thom Yorke;0.613;1;289826;0.791;TRUE;627682;art pop;0.708;0;0.128;-7.293;1;Black Swan;57;10.07.2006;0.0336;101.066;4;spotify:track:4VbV8Zyjuu1qz0QteX1wVC;0.509
2;0.327;New Energy;66;Four Tet;0.551;1;252255;0.469;FALSE;478713;alternative dance;0.161;2;0.0939;-8.393;1;Two Thousand and Seventeen;63;29.09.2017;0.0296;75.495;2;spotify:track:2ZIaH69kaz55RM4Pjx6KXl;0.498
3;0.0718;The Bends;82;Radiohead;0.418;1;257480;0.383;FALSE;5596743;alternative rock;0.0177;4;0.0896;-11.782;1;High And Dry;73;28.03.1995;0.0257;87.773;3;spotify:track:5jafMI8FLibnjkYTZ33m0c;0.352
4;0.0626;OK Computer;82;Radiohead;0.36;1;264066;0.505;FALSE;5596743;alternative rock;9.22E-05;7;0.172;-9.129;1;Karma Police;74;28.05.1997;0.026;74.807;6;spotify:track:3SVAN3BRByDmHOhKyIDxfC;0.317
5;0.778;Dummy;65;Portishead;0.607;1;303973;0.294;FALSE;1278823;art pop;0.162;5;0.106;-11.836;1;Roads;63;01.01.1994;0.0764;76.083;8;spotify:track:2sW8fmnISifQTRgnRrQTYW;0.192
6;0.177;Dummy;65;Portishead;0.51;1;308626;0.434;FALSE;1278823;art pop;0.516;1;0.0603;-10.004;1;Glory Box;68;01.01.1994;0.0361;119.695;11;spotify:track:3Ty7OTBNSigGEpeW2PqcsC;0.207
7;0.0173;Mezzanine;69;Massive Attack;0.615;1;330773;0.419;FALSE;1539615;downtempo;0.497;11;0.135;-8.8;0;Teardrop;70;01.01.1998;0.0395;76.997;3;spotify:track:67Hna13dNDkZvBpTXRIaOJ;0.216
8;0.414;Heligoland;69;Massive Attack;0.81;1;297774;0.591;FALSE;1539615;downtempo;0.799;8;0.072;-13.385;1;Paradise Circus;62;08.02.2010;0.0638;136.028;7;spotify:track:2BndJYJQ17UcEeUFJP5JmY;0.297
9;0.185;The Understanding;65;Röyksopp;0.704;1;317173;0.927;FALSE;658150;alternative dance;0.108;9;0.325;-7.157;1;What Else Is There ?;58;22.06.2005;0.0437;114.995;7;spotify:track:2cTOee6bTauDFK1QuDS1BD;0.342
10;0.946;The Last Resort;55;trentemøller;0.542;1;247817;0.16;FALSE;295548;alternative dance;0.928;7;0.263;-21.672;0;Miss You;52;06.10.2006;0.0365;126.921;13;spotify:track:4WTmtPRtIpjzgwBbQsMYyo;0.198
11;0.302;Reworked/Remixed;56;The Dø;0.754;1;310006;0.686;FALSE;281580;french indie pop;0.00978;0;0.0773;-8.963;0;Too Insistent - Trentemøller Remix;45;07.11.2011;0.0384;111.966;3;spotify:track:4hkzx4KLPDkABV2Xz22fls;0.276
12;0.0287;Moderat;62;Moderat;0.717;1;367306;0.46;FALSE;514626;alternative dance;0.785;11;0.0661;-11.326;0;A New Error;63;11.05.2009;0.0372;110.993;1;spotify:track:1fmoCZ6mtMiqA5GHWPcZz9;0.0961
13;0.00231;II;62;Moderat;0.425;1;262840;0.657;FALSE;514626;alternative dance;0.888;7;0.286;-8.143;0;Bad Kingdom;54;05.08.2013;0.0572;118.018;2;spotify:track:1mCmHiSivRYNDghiq1lfnz;0.261
14;0.00239;Parachutes;90;Coldplay;0.429;1;266773;0.661;FALSE;27688711;permanent wave;0.000121;11;0.234;-7.227;1;Yellow;84;10.07.2000;0.0281;173.372;5;spotify:track:3AJwUDP919kvQ9QcozQPxg;0.285
15;0.0954;Viva La Vida or Death and All His Friends;90;Coldplay;0.486;1;242373;0.617;FALSE;27688711;permanent wave;3.23E-06;5;0.109;-7.115;0;Viva La Vida;80;26.05.2008;0.0287;138.015;7;spotify:track:1mea3bSkSGXuIRvnydlB5b;0.417
16;0.191;Happier;91;Marshmello;0.687;1;214289;0.792;FALSE;27650037;brostep;0;5;0.167;-2.749;1;Happier;85;17.08.2018;0.0452;100.015;1;spotify:track:2dpaYNEQHiRxtZbfNsse99;0.671
17;0.026;(What's The Story) Morning Glory?;81;Oasis;0.349;1;287826;0.917;FALSE;5629209;beatlesque;7.25E-06;0;0.0968;-3.645;1;Don't Look Back In Anger;73;02.10.1995;0.071;164.036;4;spotify:track:7ppPZa3TRUSGKaks9wH7VT;0.206
18;0.0493;Aftermath;84;The Rolling Stones;0.464;1;202266;0.795;FALSE;9328295;album rock;0.00244;1;0.399;-9.267;1;Paint It, Black;78;15.04.1966;0.0926;158.691;1;spotify:track:63T7DJ1AFDD6Bn8VzG6JE8;0.612
19;0.518;Beggars Banquet (50th Anniversary Edition);84;The Rolling Stones;0.702;1;378146;0.668;FALSE;9328295;album rock;0;9;0.0588;-9.237;1;Sympathy For The Devil - 50th Anniversary Edition;76;06.12.1968;0.214;116.063;1;spotify:track:1Ud6moTC0KyXMq1Oxfien0;0.561
20;0.687;Sticky Fingers (Remastered);84;The Rolling Stones;0.432;1;341773;0.389;FALSE;9328295;album rock;0.0107;7;0.0788;-6.517;1;Wild Horses - 2009 Mix;72;23.04.1971;0.0255;139.506;3;spotify:track:52dm9op3rbfAkc1LGXgipW;0.158
21;0.181;Axis: Bold As Love;77;Jimi Hendrix;0.515;1;145746;0.534;FALSE;4514900;acid rock;0.00278;6;0.0547;-8.045;1;Little Wing;71;01.12.1967;0.0768;70.776;6;spotify:track:1Eolhana7nKHYpcYpdVcT5;0.426
22;0.00603;Are You Experienced;77;Jimi Hendrix;0.346;1;210160;0.768;FALSE;4514900;acid rock;0.38;9;0.0244;-5.695;1;Hey Joe;71;12.05.1967;0.0377;169.492;3;spotify:track:0NWPxcsf5vdjdiFUI8NgkP;0.532
23;0.373;Music From Big Pink (Remastered);69;The Band;0.63;1;274493;0.551;FALSE;698025;album rock;5.75E-05;9;0.103;-9.28;1;The Weight - Remastered;73;01.07.1968;0.0549;143.868;5;spotify:track:0P7DoyGrr4Wp9w5TotEtUC;0.518
24;0.009;Rumours (Super Deluxe);88;Fleetwood Mac;0.545;1;270213;0.67;FALSE;5459007;album rock;0.000822;9;0.0451;-8.81;1;The Chain - 2004 Remaster;82;04.02.1977;0.0496;151.553;7;spotify:track:5e9TFTbltYBg2xThimr0rU;0.481
25;0.249;Cleopatra;81;The Lumineers;0.389;1;211851;0.431;FALSE;3981858;folk-pop;0;7;0.13;-8.061;1;Sleep On The Floor;68;08.04.2016;0.0344;142.14;1;spotify:track:44uOreAESeRIBaxkuCW4wN;0.275
26;0.658;III;81;The Lumineers;0.523;1;216120;0.714;FALSE;3981858;folk-pop;5.20E-06;11;0.0785;-6.021;1;Gloria;60;13.09.2019;0.0367;78.211;3;spotify:track:3CN9WtSBqCI6TXne9XNomb;0.659
